       TIME	  CAN_ID	CAN_DATA                                	  1	  2	   3	   4
1.58187e+09	     100	[39, 0, 36, 0, 170, 255, 57, 0]         	 39	 36	 -86	  57
1.58187e+09	     101	[215, 255, 2, 0, 33, 0, 209, 255]       	-41	  2	  33	 -47
1.58187e+09	     100	[42, 0, 32, 0, 168, 255, 57, 0]         	 42	 32	 -88	  57
1.58187e+09	     101	[214, 255, 0, 0, 33, 0, 214, 255]       	-42	  0	  33	 -42
1.58187e+09	     100	[42, 0, 22, 0, 162, 255, 52, 0]         	 42	 22	 -94	  52
1.58187e+09	     101	[217, 255, 255, 255, 33, 0, 217, 255]   	-39	 -1	  33	 -39
1.58187e+09	     100	[41, 0, 12, 0, 153, 255, 44, 0]         	 41	 12	-103	  44
1.58187e+09	     101	[223, 255, 255, 255, 27, 0, 214, 255]   	-33	 -1	  27	 -42
1.58187e+09	     100	[37, 0, 1, 0, 146, 255, 34, 0]          	 37	  1	-110	  34
1.58187e+09	     101	[229, 255, 255, 255, 23, 0, 210, 255]   	-27	 -1	  23	 -46
1.58187e+09	     100	[33, 0, 250, 255, 138, 255, 23, 0]      	 33	 -6	-118	  23
1.58187e+09	     101	[233, 255, 0, 0, 21, 0, 204, 255]       	-23	  0	  21	 -52
1.58187e+09	     100	[30, 0, 246, 255, 132, 255, 18, 0]      	 30	-10	-124	  18
1.58187e+09	     101	[233, 255, 5, 0, 17, 0, 198, 255]       	-23	  5	  17	 -58
1.58187e+09	     100	[27, 0, 248, 255, 134, 255, 14, 0]      	 27	 -8	-122	  14
1.58187e+09	     101	[231, 255, 9, 0, 15, 0, 196, 255]       	-25	  9	  15	 -60
1.58187e+09	     100	[26, 0, 255, 255, 139, 255, 18, 0]      	 26	 -1	-117	  18
1.58187e+09	     101	[225, 255, 12, 0, 18, 0, 192, 255]      	-31	 12	  18	 -64
1.58187e+09	     100	[26, 0, 9, 0, 149, 255, 23, 0]          	 26	  9	-107	  23
1.58187e+09	     101	[222, 255, 16, 0, 21, 0, 194, 255]      	-34	 16	  21	 -62
1.58187e+09	     100	[29, 0, 20, 0, 164, 255, 31, 0]         	 29	 20	 -92	  31
1.58187e+09	     101	[218, 255, 16, 0, 30, 0, 198, 255]      	-38	 16	  30	 -58
1.58187e+09	     100	[26, 0, 30, 0, 173, 255, 39, 0]         	 26	 30	 -83	  39
1.58187e+09	     101	[219, 255, 16, 0, 34, 0, 205, 255]      	-37	 16	  34	 -51
1.58187e+09	     100	[29, 0, 33, 0, 182, 255, 40, 0]         	 29	 33	 -74	  40
1.58187e+09	     101	[222, 255, 13, 0, 39, 0, 210, 255]      	-34	 13	  39	 -46
1.58187e+09	     100	[29, 0, 32, 0, 183, 255, 40, 0]         	 29	 32	 -73	  40
1.58187e+09	     101	[225, 255, 10, 0, 42, 0, 214, 255]      	-31	 10	  42	 -42
1.58187e+09	     100	[29, 0, 25, 0, 181, 255, 31, 0]         	 29	 25	 -75	  31
1.58187e+09	     101	[227, 255, 5, 0, 41, 0, 217, 255]       	-29	  5	  41	 -39
1.58187e+09	     100	[27, 0, 18, 0, 177, 255, 25, 0]         	 27	 18	 -79	  25
1.58187e+09	     101	[227, 255, 4, 0, 39, 0, 216, 255]       	-29	  4	  39	 -40
1.58187e+09	     100	[26, 0, 14, 0, 170, 255, 14, 0]         	 26	 14	 -86	  14
1.58187e+09	     101	[222, 255, 1, 0, 33, 0, 214, 255]       	-34	  1	  33	 -42
1.58187e+09	     100	[25, 0, 13, 0, 166, 255, 7, 0]          	 25	 13	 -90	   7
1.58187e+09	     101	[214, 255, 4, 0, 30, 0, 212, 255]       	-42	  4	  30	 -44
1.58187e+09	     100	[22, 0, 14, 0, 165, 255, 2, 0]          	 22	 14	 -91	   2
1.58187e+09	     101	[206, 255, 5, 0, 25, 0, 212, 255]       	-50	  5	  25	 -44
1.58187e+09	     100	[19, 0, 16, 0, 162, 255, 0, 0]          	 19	 16	 -94	   0
1.58187e+09	     101	[200, 255, 6, 0, 22, 0, 209, 255]       	-56	  6	  22	 -47
1.58187e+09	     100	[21, 0, 17, 0, 165, 255, 0, 0]          	 21	 17	 -91	   0
1.58187e+09	     101	[194, 255, 8, 0, 19, 0, 206, 255]       	-62	  8	  19	 -50
1.58187e+09	     100	[21, 0, 14, 0, 165, 255, 1, 0]          	 21	 14	 -91	   1
1.58187e+09	     101	[194, 255, 4, 0, 21, 0, 204, 255]       	-62	  4	  21	 -52
1.58187e+09	     100	[21, 0, 8, 0, 164, 255, 2, 0]           	 21	  8	 -92	   2
1.58187e+09	     101	[198, 255, 1, 0, 15, 0, 196, 255]       	-58	  1	  15	 -60
1.58187e+09	     100	[21, 0, 0, 0, 157, 255, 3, 0]           	 21	  0	 -99	   3
