       TIME	  CAN_ID	CAN_DATA                             	  1	  2	  3	  4
1.58187e+09	     100	[15, 0, 6, 0, 253, 255, 10, 0]       	 15	  6	 -3	 10
1.58187e+09	     101	[13, 0, 10, 0, 255, 255, 19, 0]      	 13	 10	 -1	 19
1.58187e+09	     100	[11, 0, 252, 255, 0, 0, 3, 0]        	 11	 -4	  0	  3
1.58187e+09	     101	[9, 0, 13, 0, 255, 255, 21, 0]       	  9	 13	 -1	 21
1.58187e+09	     100	[9, 0, 247, 255, 5, 0, 0, 0]         	  9	 -9	  5	  0
1.58187e+09	     101	[13, 0, 16, 0, 5, 0, 19, 0]          	 13	 16	  5	 19
1.58187e+09	     100	[11, 0, 255, 255, 1, 0, 3, 0]        	 11	 -1	  1	  3
1.58187e+09	     101	[10, 0, 6, 0, 7, 0, 17, 0]           	 10	  6	  7	 17
1.58187e+09	     100	[14, 0, 1, 0, 3, 0, 9, 0]            	 14	  1	  3	  9
1.58187e+09	     101	[9, 0, 2, 0, 1, 0, 21, 0]            	  9	  2	  1	 21
1.58187e+09	     100	[11, 0, 0, 0, 1, 0, 13, 0]           	 11	  0	  1	 13
1.58187e+09	     101	[11, 0, 9, 0, 3, 0, 22, 0]           	 11	  9	  3	 22
1.58187e+09	     100	[15, 0, 251, 255, 3, 0, 11, 0]       	 15	 -5	  3	 11
1.58187e+09	     101	[5, 0, 13, 0, 255, 255, 22, 0]       	  5	 13	 -1	 22
1.58187e+09	     100	[13, 0, 1, 0, 3, 0, 14, 0]           	 13	  1	  3	 14
1.58187e+09	     101	[9, 0, 6, 0, 253, 255, 22, 0]        	  9	  6	 -3	 22
1.58187e+09	     100	[11, 0, 255, 255, 5, 0, 14, 0]       	 11	 -1	  5	 14
1.58187e+09	     101	[6, 0, 12, 0, 254, 255, 21, 0]       	  6	 12	 -2	 21
1.58187e+09	     100	[17, 0, 254, 255, 251, 255, 10, 0]   	 17	 -2	 -5	 10
1.58187e+09	     101	[2, 0, 10, 0, 2, 0, 14, 0]           	  2	 10	  2	 14
1.58187e+09	     100	[13, 0, 254, 255, 249, 255, 7, 0]    	 13	 -2	 -7	  7
1.58187e+09	     101	[7, 0, 16, 0, 2, 0, 18, 0]           	  7	 16	  2	 18
1.58187e+09	     100	[17, 0, 254, 255, 249, 255, 2, 0]    	 17	 -2	 -7	  2
1.58187e+09	     101	[3, 0, 9, 0, 0, 0, 19, 0]            	  3	  9	  0	 19
1.58187e+09	     100	[15, 0, 0, 0, 247, 255, 5, 0]        	 15	  0	 -9	  5
1.58187e+09	     101	[9, 0, 10, 0, 5, 0, 19, 0]           	  9	 10	  5	 19
1.58187e+09	     100	[13, 0, 9, 0, 254, 255, 3, 0]        	 13	  9	 -2	  3
1.58187e+09	     101	[9, 0, 13, 0, 0, 0, 10, 0]           	  9	 13	  0	 10
1.58187e+09	     100	[14, 0, 6, 0, 254, 255, 3, 0]        	 14	  6	 -2	  3
1.58187e+09	     101	[7, 0, 14, 0, 254, 255, 10, 0]       	  7	 14	 -2	 10
1.58187e+09	     100	[17, 0, 4, 0, 253, 255, 251, 255]    	 17	  4	 -3	 -5
1.58187e+09	     101	[255, 255, 13, 0, 249, 255, 1, 0]    	 -1	 13	 -7	  1
1.58187e+09	     100	[18, 0, 4, 0, 253, 255, 1, 0]        	 18	  4	 -3	  1
1.58187e+09	     101	[1, 0, 10, 0, 245, 255, 0, 0]        	  1	 10	-11	  0
1.58187e+09	     100	[21, 0, 2, 0, 247, 255, 251, 255]    	 21	  2	 -9	 -5
1.58187e+09	     101	[9, 0, 0, 0, 250, 255, 246, 255]     	  9	  0	 -6	-10
1.58187e+09	     100	[13, 0, 0, 0, 250, 255, 253, 255]    	 13	  0	 -6	 -3
1.58187e+09	     101	[3, 0, 5, 0, 249, 255, 247, 255]     	  3	  5	 -7	 -9
1.58187e+09	     100	[9, 0, 255, 255, 254, 255, 247, 255] 	  9	 -1	 -2	 -9
1.58187e+09	     101	[2, 0, 9, 0, 245, 255, 249, 255]     	  2	  9	-11	 -7
1.58187e+09	     100	[11, 0, 5, 0, 0, 0, 251, 255]        	 11	  5	  0	 -5
1.58187e+09	     101	[6, 0, 6, 0, 243, 255, 255, 255]     	  6	  6	-13	 -1
1.58187e+09	     100	[13, 0, 9, 0, 255, 255, 1, 0]        	 13	  9	 -1	  1
1.58187e+09	     101	[10, 0, 14, 0, 242, 255, 254, 255]   	 10	 14	-14	 -2
1.58187e+09	     100	[18, 0, 6, 0, 1, 0, 5, 0]            	 18	  6	  1	  5
1.58187e+09	     101	[0, 0, 10, 0, 238, 255, 3, 0]        	  0	 10	-18	  3
1.58187e+09	     100	[18, 0, 2, 0, 1, 0, 11, 0]           	 18	  2	  1	 11
1.58187e+09	     101	[5, 0, 5, 0, 243, 255, 7, 0]         	  5	  5	-13	  7
1.58187e+09	     100	[18, 0, 8, 0, 253, 255, 13, 0]       	 18	  8	 -3	 13
1.58187e+09	     101	[5, 0, 6, 0, 246, 255, 3, 0]         	  5	  6	-10	  3
1.58187e+09	     100	[27, 0, 9, 0, 9, 0, 13, 0]           	 27	  9	  9	 13
1.58187e+09	     101	[2, 0, 10, 0, 243, 255, 3, 0]        	  2	 10	-13	  3
1.58187e+09	     100	[19, 0, 2, 0, 7, 0, 17, 0]           	 19	  2	  7	 17
1.58187e+09	     101	[1, 0, 9, 0, 243, 255, 15, 0]        	  1	  9	-13	 15
1.58187e+09	     100	[15, 0, 255, 255, 9, 0, 14, 0]       	 15	 -1	  9	 14
1.58187e+09	     101	[7, 0, 2, 0, 245, 255, 14, 0]        	  7	  2	-11	 14
